Filename,Original Label,Final Label
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Soft Coral\4200414610116951366.jpg,Soft Coral,Algae
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Soft Coral\42004146601707435.jpg,Soft Coral,Soft Coral
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Algae\420041468012341410.jpg,Algae,Soft Coral
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Algae\420041468018381037.jpg,Algae,remove
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Hard Coral\42004146301125395.jpg,Hard Coral,Algae
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Soft Coral\42004146401750427.jpg,Soft Coral,remove
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Algae\4200414630110221070.jpg,Algae,Algae
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Hard Coral\42004146601586631.jpg,Hard Coral,Hard Coral
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Algae\42004146201961799.jpg,Algae,Algae
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Algae\4200414620117461067.jpg,Algae,Hard Coral
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Soft Coral\42004146301957513.jpg,Soft Coral,Algae
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Soft Coral\4200414650147762.jpg,Soft Coral,Hard Coral
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Algae\4200414680112141249.jpg,Algae,remove
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Soft Coral\4200414650148730.jpg,Soft Coral,Hard Coral
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Algae\420041463011313674.jpg,Algae,Hard Coral
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Algae\42004146401498551.jpg,Algae,Soft Coral
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Soft Coral\42004146501532357.jpg,Soft Coral,Hard Coral
C:\Users\Brandon\Desktop\Classes\E208\Homework\E208_Final\Relabel1\Hard Coral\4200414610115731078.jpg,Hard Coral,Algae
